category,title,author,date_version,publication_status,source_path_or_url,prospectus_use
Brian Fahey authored appendix,Toward a Post-Cartesian Science of Consciousness,Brian Fahey,2025–2026,Speculative theoretical synthesis,reference-only:RDFT_COSMOSIS_REF_DOCS/Post_Cartesian_Consciousness_White_Paper_Brian_Fahey.docx,Full-length Appendix A
Brian Fahey authored appendix,A Measured Topological Geometric Phase in a Driven Nonlinear Field Instrument,Brian Fahey,Working draft v0.2,Classical measurement paper,reference-only:RDFT_COSMOSIS_REF_DOCS/RDFT_Holonomy_Paper_v0.2 (1).docx,Full-length Appendix B
Brian Fahey authored appendix,Recursive Differential Field Theory: Master Guide,Brian Fahey,2026,Comprehensive founder framework,reference-only:RDFT_COSMOSIS_REF_DOCS/RDFT_Master_Guide.docx,Full-length Appendix C
Brian Fahey authored appendix,Adaptive Fabrication Systems for Terrestrial and Off-World Construction,Brian Fahey / Fieldworks MindLAB,July 2026,Federal R&D brief,reference-only:RDFT_COSMOSIS_REF_DOCS/fieldworks_brief_1_federal_rd.docx,Full-length Appendix D
Brian Fahey authored appendix,Cathode Ray Epitaxy,Brian Fahey / Fieldworks MindLAB,2026-07-17,Proprietary engineering brief — investor and colleague review,reference-only:Downloads/CRE_Engineering_Brief_Fieldworks_Mindlab.docx,Full-length Appendix E
Brian Fahey authored appendix,Nonlinear Phi Field Equation: Derivatives and Theoretical Extensions,Brian Fahey,2026,Compact working reference,reference-only:RDFT_COSMOSIS_REF_DOCS/nonlinear_phi_field_derivatives_and_extensions.docx,Full-length Appendix F
Brian Fahey authored appendix,Voice of a Lyre,Brian Fahey,2026,Conceptual engineering white paper,reference-only:RDFT_COSMOSIS_REF_DOCS/Voice of a Lyre v2.docx,Full-length Appendix G
Brian Fahey authored appendix,"Where Materials, Physics, and Sound Become a Public Instrument",Brian Fahey / Fieldworks MindLAB,July 2026,STEAM and arts brief,reference-only:RDFT_COSMOSIS_REF_DOCS/fieldworks_brief_2_steam_arts.docx,Full-length Appendix H
Brian Fahey authored appendix,"Resolution, Recursion, and Reality",Brian Fahey,2026,Conceptual paper,reference-only:RDFT_COSMOSIS_REF_DOCS/recursive_differentiation_paper.docx,Full-length Appendix I
Brian Fahey authored appendix,"Resolution, Recursion, and Reality: A Post-Planck Framework for Scale-Dependent Physics",Brian Fahey,2026,Formalized preprint,reference-only:RDFT_COSMOSIS_REF_DOCS/recursive_differentiation_preprint.docx,Full-length Appendix J
Brian Fahey authored appendix,Personal Statement,Brian Fahey,2026-07-07,Founder’s autobiographical and academic statement,reference-only:Downloads/PersonalStatement_Fahey_Brian.docx,Full-length Appendix K
Brian Fahey authored appendix,Floquet Systems and Adiabatic Processes Under Recursive Differentiation,Brian Fahey (with AI assistance),Version 1.0 — 2026-05-21,Internal working framework with implementation code,reference-only:Downloads/Floquet_Adiabatic_RD_Framework.md,Full-length Appendix L
Third-party development reference,Holonomic Quantum Computation: A Scalable Adiabatic Architecture,Clara Wassner; Tommaso Guaita; Jens Eisert; Jose Carrasco,2026,Peer-reviewed / accepted in Quantum; CC BY 4.0,reference-only:Downloads/q-2026-04-23-2080.pdf,"Holonomy, adiabatic control, robustness"
Third-party development reference,Floquet Engineering with Quantum Optimal Control Theory,Alberto Castro et al.,2023,New Journal of Physics 25 043023; CC BY 4.0,reference-only:Downloads/Castro_2023_New_J._Phys._25_043023.pdf,Floquet control and driven systems
Third-party development reference,Testing the Problem of Time with Cold Atoms,Giovanni Barontini,2026,Physical Review Research 8 L022047,reference-only:Downloads/Testing_the_problem_of_time_with _cold_atoms.pdf,Relational and entropic time
Third-party development reference,Topological Insulators and Their Invariants,Christian Schmidt,2021,Introductory review,reference-only:Downloads/Topological insulators and their invariants 21-Christian 1.pdf,"Berry curvature, Chern invariants, topological protection"
Third-party development reference,Hopfield Networks Is All You Need,Hubert Ramsauer et al.,2021,arXiv:2008.02217,reference-only:Downloads/Hopfield is all you need .pdf,Energy-based memory and attention
Third-party development reference,The Complex Hopf Fibration as the Canonical Space for Gauge–Gravity Unification,Jennifer Lorraine Nielsen,2026 v4,Preprints.org preprint; DOI 10.20944/preprints202604.0315.v4,reference-only:Downloads/Complex Hopf as Canonical Space for Gauge Gravity Unification - Jennifer Nielsen.pdf,"Hopf shells, Beltrami operator, holonomy, torsion, comparative unification framework"
